year,Total/GtCO2,cumulative Total/GtCO2,budget_left,pct remaining,pct used,Temperature increase/degC
1850,2.61643064533333,2.61643064533333,2762.547510322479,99.9053788237808,0.0946211762192145,0.0011773937903999986
1851,2.70651374933333,5.32294439466666,2759.8409965731457,99.80749986227568,0.192500137724334,0.002395324977599997
1852,2.7534263839999973,8.076370778666657,2757.0875701891455,99.70792434188043,0.2920756581195657,0.0036343668503999956
1853,2.8204140746666644,10.896784853333322,2754.267156114479,99.60592626383232,0.3940737361676801,0.004903553183999995
1854,2.880645349333331,13.777430202666654,2751.386510765146,99.50174996865306,0.498250031346949,0.0061998435911999935
1855,2.899100918333331,16.676531120999986,2748.487409846812,99.39690624219686,0.603093757803133,0.007504439004449992
1856,2.9481765333333296,19.624707654333314,2745.539233313479,99.29028773435168,0.7097122656483301,0.008831118444449991
1857,2.974584202666664,22.599291856999976,2742.5646491108123,99.1827142137153,0.817285786284707,0.010169681335649989
1858,3.009985768999996,25.609277625999972,2739.5546633418126,99.07386042300854,0.9261395769914705,0.011524174931699988
1859,3.057036586333331,28.666314212333305,2736.497626755479,98.96330507614314,1.036694923856849,0.012899841395549987
1860,2.9751332759999976,31.641447488333302,2733.522493479479,98.85571169869738,1.144288301302625,0.014238651369749986
1861,2.8676993873333303,34.50914687566663,2730.6547940921455,98.75200358414958,1.247996415850424,0.015529116094049986
1862,2.8537840389999958,37.36293091466663,2727.8010100531455,98.64879870733489,1.3512012926651118,0.016813318911599984
1863,2.8776841366666623,40.24061505133329,2724.923325916479,98.54472950210507,1.4552704978949278,0.01810827677309998
1864,2.8741775136666643,43.11479256499996,2722.0491484028125,98.44078711116457,1.559212888835434,0.01940165665424998
1865,2.8708943933333297,45.98568695833329,2719.178254009479,98.33696345171353,1.6630365482864722,0.020693559131249976
1866,2.874035316666663,48.85972227499995,2716.3042186928124,98.23302620321677,1.7669737967832375,0.021986875023749974
1867,2.9067293673333294,51.76645164233328,2713.397489325479,98.12790659984468,1.8720934001553242,0.023294903239049973
1868,2.9039972436666637,54.670448885999946,2710.4934920818123,98.0228858015968,1.9771141984031946,0.024601701998699974
1869,2.9103213086666635,57.58077019466661,2707.583170773146,97.91763629846434,2.082363701535658,0.02591134658759997
1870,3.099724457666663,60.68049465233327,2704.483446315479,97.80553717798391,2.1944628220160785,0.027306222593549968
1871,3.2455223486666664,63.92601700099994,2701.2379239668126,97.68816539034479,2.3118346096552136,0.02876670765044997
1872,3.3614073356666605,67.2874243366666,2697.876516631146,97.56660271241945,2.4333972875805654,0.030279340951499964
1873,3.471334666666664,70.75875900333327,2694.405181964479,97.44106459819639,2.5589354018036117,0.03184144155149997
1874,3.47991575466666,74.23867475799993,2690.9252662098124,97.31521615561006,2.6847838443899374,0.03340740364109996
1875,3.56061901966666,77.79929377766659,2687.3646471901457,97.18644914230885,2.813550857691161,0.03500968219994996
1876,3.609742266666663,81.40903604433325,2683.754904923479,97.05590562504443,2.9440943749555744,0.036634066219949954
1877,3.6695155423333303,85.07855158666658,2680.085389381146,96.92320045382594,3.0767995461740663,0.038285348213999953
1878,3.7246083093333273,88.80315989599991,2676.360781071812,96.7885028956034,3.211497104396589,0.03996142195319995
1879,3.814380493,92.61754038899991,2672.5464005788126,96.65055879628666,3.349441203713354,0.041677893175049954
1880,3.948691566666661,96.56623195566658,2668.597709012146,96.50775744161237,3.4922425583876313,0.04345480438004995
1881,3.973953852333333,100.54018580799992,2664.6237551598124,96.36404249605502,3.6359575039449803,0.04524308361359995
1882,4.085563348999997,104.62574915699992,2660.5381918108124,96.21629127998897,3.7837087200110355,0.04708158712064995
1883,4.205575650666667,108.83132480766659,2656.332616160146,96.06419991251674,3.9358000874832553,0.04897409616344995
1884,4.236490896333333,113.06781570399993,2652.0961252638126,95.91099051926643,4.089009480733572,0.05088051706679995
1885,4.2479756326666624,117.31579133666659,2647.8481496311456,95.75736578947264,4.2426342105273465,0.052792106101499946
1886,4.291943659333326,121.60773499599992,2643.5562059718122,95.60215099024339,4.397849009756615,0.054723480748199944
1887,4.396457834666666,126.00419283066658,2639.159748137146,95.44315651727453,4.556843482725472,0.05670188677379994
1888,4.510536800999998,130.51472963166657,2634.6492113361455,95.28003646735006,4.7199635326499365,0.05873162833424994
1889,4.531315774999993,135.04604540666656,2630.117895561146,95.11616496201668,4.883835037983325,0.06077072043299994
1890,4.759307731999999,139.80535313866656,2625.3585878291456,94.94404830515276,5.05595169484723,0.06291240891239994
1891,4.915787421333334,144.7211405599999,2620.4428004078122,94.76627268221401,5.233727317785984,0.06512451325199994
1892,4.962878413999997,149.68401897399988,2615.4799219938122,94.586794050207,5.413205949792988,0.06735780853829994
1893,5.014456588333327,154.69847556233321,2610.4654654054793,94.40545013370209,5.5945498662979265,0.06961431400304993
1894,5.096905401666659,159.79538096399986,2605.3685600038125,94.22112452008646,5.778875479913541,0.07190792143379993
1895,5.221801453,165.01718241699987,2600.1467585508126,94.03228213806219,5.967717861937819,0.07425773208764994
1896,5.303560531666666,170.32074294866655,2594.843198019146,93.84048300264418,6.159516997355823,0.07664433432689993
1897,5.414014862333327,175.73475781099987,2589.4291831568125,93.64468937239604,6.355310627603961,0.07908064101494992
1898,5.533447701666663,181.26820551266653,2583.8957354551458,93.44457654654565,6.555423453454348,0.08157069248069992
1899,5.731877870666658,187.0000833833332,2578.163857584479,93.2372876482006,6.7627123517993954,0.08415003752249993
1900,5.947648831333326,192.94773221466653,2572.216208753146,93.0221955611379,6.977804438862112,0.08682647949659991
1901,6.061959268333325,199.00969148299987,2566.1542494848127,92.80296952616321,7.197030473836792,0.08955436116734991
1902,6.178380526000002,205.18807200899988,2559.9758689588125,92.57953320709137,7.420466792908622,0.09233463240404992
