country,"Population (2023), millions",Fossil CO2/GtCO2,Land CO2/GtCO2,Territorial Total/GtCO2,Emp Fossil Total/GtCO2,Emp Land Total/GtCO2,Empire Total/GtCO2,Col Fossil Total/GtCO2,Col Land Total/GtCO2,Colonial Total/GtCO2,Cons Total/GtCO2,Emp Cons Total/GtCO2,Col Cons Total/GtCO2,Temperature increase/degC,Col Temperature increase/degC,Difference in temp increase/degC,Share/percent,Col share/percent,Change/percent,Territorial per yearly capita /tCO2/pc,Colonial per yearly capita /tCO2/pc,Territorial per 2023 capita /tCO2/pc,Colonial per 2023 capita /tCO2/pc,Consumption per yearly capita /tCO2/pc,Colonial consumption per yearly capita /tCO2/pc,Consumption per 2023 capita /tCO2/pc,Colonial consumption per 2023 capita /tCO2/pc
Bangladesh,172.95432,1.842818781311262,3.8062975466666664,5.649116327977929,-0.0015563369999999999,-2.1983389333333334,-2.1998952703333337,1.841262444311262,1.607958613333333,3.449221057644595,6.086710439189046,-2.1998952703333337,3.886815168855713,0.002542102347590068,0.0015521494759400676,-0.0009899528716500003,0.22087570741348583,0.13486164860149755,-38.94229013196431,116.92362937685992,36.475615622731695,32.66247601087922,19.942959838439393,119.69098818359326,39.24297442946504,35.19258980746503,22.47307363502521
Belarus,9.498237,5.13115592696647,2.7930916266666665,7.924247553633137,-3.098369386,-2.8558070933333326,-5.9541764793333325,2.0327865409664705,-0.06271546666666597,1.9700710742998047,7.542292731655175,-5.888442096333333,1.6538506353218427,0.0035659113991349115,0.000886531983434912,-0.0026793794156999996,0.3098314289369228,0.07702812562660959,-75.13869852038432,1083.7846045035685,197.5352535990823,834.2861473801019,207.41439430283796,1046.7105840375584,166.7595663868782,794.072913916043,174.12185391055652
Belgium,11.686148,12.694658478263174,0.33242250666666473,13.027080984929837,0.031719682,4.318927786666664,4.350647468666664,12.726378160263172,4.651350293333329,17.3777284535965,15.792216443593098,4.350647468666664,20.142863912259763,0.0058621864432184265,0.007819977804118425,0.0019577913608999986,0.5093479335570853,0.679454598309094,33.396948047683416,1522.9243527244057,2042.6797536884662,1114.7455076668407,1487.0364857262205,1777.7004418061936,2297.455842770254,1351.3620094143166,1723.6529874736964
Benin,13.712833,0.1350652143449967,1.1408963199999993,1.275961534344996,-0.00022716799999999998,-0.14166245333333244,-0.14188962133333244,0.1348380463449967,0.9992338666666669,1.1340719130116637,1.3225589114529392,-0.14188962133333244,1.1806692901196068,0.0005741826904552481,0.0005103323608552486,-6.385032959999948e-05,0.049889025144526804,0.0443412600309963,-11.12021150435151,236.4528559238189,176.04176333422123,93.04871825865567,82.70150398620501,241.7086139634218,181.29752137382414,96.446803622048,86.09958934959732
Bolivia,12.388575,0.6257600898139044,6.7304015999999995,7.356161689813904,0.0,0.0,0.0,0.6257600898139044,6.7304015999999995,7.356161689813904,7.340134661926043,0.0,7.340134661926043,0.003310272760416257,0.003310272760416257,0.0,0.2876197484266034,0.28761974842660337,0.0,1906.1418990436437,1906.1418990436437,593.785943081743,593.785943081743,1904.3242206746074,1904.3242206746074,592.4922488604252,592.4922488604252
Bosnia and Herzegovina,3.210855,0.992399589669707,0.5113600533333287,1.5037596430030356,-0.0033448360000000003,-0.2254214933333312,-0.2287663293333312,0.989054753669707,0.28593855999999745,1.2749933136697045,1.5037596430030356,-0.2287663293333312,1.2749933136697045,0.000676691839351366,0.000573746991151367,-0.00010294484819999895,0.058795740013913925,0.049851168528700314,-15.212958427084832,526.0128888751565,374.4230217390291,468.33620422069373,397.0884121736125,526.0128888751565,374.4230217390291,468.33620422069373,397.0884121736125
Botswana,2.675356,0.16990422703776192,0.4780420799999955,0.6479463070377575,0.0,-0.1411128533333312,-0.1411128533333312,0.16990422703776192,0.3369292266666643,0.5068334537044262,0.7291090794071413,-0.1411128533333312,0.5879962260738101,0.00029157583816699086,0.0002280750541669918,-6.350078399999906e-05,0.02533415681743411,0.019816762680802548,-21.778479451246913,749.5755816041242,342.6514819015299,242.190686786266,189.4452378316853,783.3300209014329,376.4059211988387,272.5278727044705,219.78242374988977
Brazil,216.422448,17.502340083830862,97.87231610666669,115.37465619049755,0.0,0.0,0.0,17.502340083830862,97.87231610666669,115.37465619049755,115.88101818342996,0.0,115.88101818342996,0.051918595285723894,0.051918595285723894,0.0,4.511052229081203,4.511052229081203,0.0,1420.928037540758,1420.928037540758,533.0993030376292,533.0993030376292,1423.722371656298,1423.722371656298,535.4389956046979,535.4389956046979
Bulgaria,6.687716,3.958506114375549,0.34845861333332906,4.306964727708878,0.0,-0.0551798399999989,-0.0551798399999989,3.958506114375549,0.29327877333333013,4.251784887708879,4.111387794537851,-0.0551798399999989,4.056207954537852,0.001938134127468995,0.0019133031994689952,-2.4830927999999752e-05,0.16839870624121914,0.166241220806798,-1.2811769654160259,566.1413012673407,545.1491734623168,644.0113078529168,635.7603833220307,541.8792799560908,520.8871521510669,614.7671035279984,606.5161789971123
Burkina Faso,23.25149,0.08634549216819876,1.0590914133333305,1.1454369055015292,-1.0991999999999999e-05,-0.20219173333333124,-0.20220272533333122,0.08633450016819876,0.8568996799999992,0.9432341801681979,1.168073833627638,-0.20220272533333122,0.9658711082943068,0.0005154466074756882,0.0004244553810756891,-9.099122639999907e-05,0.04478562169930109,0.03687966483703184,-17.652890732099895,149.2526307404446,92.85342563037906,49.2629463961892,40.56661229745698,150.7195178894911,94.32031277942556,50.23651532128211,41.5401812225499
